link_id,source_id,relation_type,target_id,profile
FB2-LNK-SAF-000001,FB2-SAF-SGO-000001,mitigates,FB2-SAF-HAZ-000001,as_is
FB2-LNK-SAF-000001,FB2-SAF-SGO-000001,mitigates,FB2-SAF-HAZ-000001,synthetic_reference
FB2-LNK-SAF-000002,FB2-SAF-FSR-000001,refines,FB2-SAF-SGO-000001,as_is
FB2-LNK-SAF-000002,FB2-SAF-FSR-000001,refines,FB2-SAF-SGO-000001,synthetic_reference
FB2-LNK-SAF-000003,FB2-SAF-FSR-000002,refines,FB2-SAF-SGO-000001,as_is
FB2-LNK-SAF-000003,FB2-SAF-FSR-000002,refines,FB2-SAF-SGO-000001,synthetic_reference
FB2-LNK-SAF-000004,FB2-SAF-FSR-000003,refines,FB2-SAF-SGO-000001,as_is
FB2-LNK-SAF-000004,FB2-SAF-FSR-000003,refines,FB2-SAF-SGO-000001,synthetic_reference
FB2-LNK-SAF-000005,FB2-HW-TSR-000001,allocated_to,FB2-SAF-FSR-000001,as_is
FB2-LNK-SAF-000005,FB2-HW-TSR-000001,allocated_to,FB2-SAF-FSR-000001,synthetic_reference
FB2-LNK-SAF-000006,FB2-HW-TSR-000002,allocated_to,FB2-SAF-FSR-000001,as_is
FB2-LNK-SAF-000006,FB2-HW-TSR-000002,allocated_to,FB2-SAF-FSR-000001,synthetic_reference
FB2-LNK-SAF-000007,FB2-HW-TSR-000003,allocated_to,FB2-SAF-FSR-000003,as_is
FB2-LNK-SAF-000007,FB2-HW-TSR-000003,allocated_to,FB2-SAF-FSR-000003,synthetic_reference
FB2-LNK-SAF-000008,FB2-SW-SWR-000001,allocated_to,FB2-SAF-FSR-000001,as_is
FB2-LNK-SAF-000008,FB2-SW-SWR-000001,allocated_to,FB2-SAF-FSR-000001,synthetic_reference
FB2-LNK-SAF-000009,FB2-SW-SWR-000002,allocated_to,FB2-SAF-FSR-000002,as_is
FB2-LNK-SAF-000009,FB2-SW-SWR-000002,allocated_to,FB2-SAF-FSR-000002,synthetic_reference
FB2-LNK-SAF-000010,FB2-SW-SWR-000003,allocated_to,FB2-SAF-FSR-000003,as_is
FB2-LNK-SAF-000010,FB2-SW-SWR-000003,allocated_to,FB2-SAF-FSR-000003,synthetic_reference
FB2-LNK-SAF-000011,FB2-SW-DSN-000001,implements,FB2-SW-SWR-000001,as_is
FB2-LNK-SAF-000011,FB2-SW-DSN-000001,implements,FB2-SW-SWR-000001,synthetic_reference
FB2-LNK-SAF-000012,FB2-SW-DSN-000002,implements,FB2-SW-SWR-000002,as_is
FB2-LNK-SAF-000012,FB2-SW-DSN-000002,implements,FB2-SW-SWR-000002,synthetic_reference
FB2-LNK-SAF-000013,FB2-SW-DSN-000003,implements,FB2-SW-SWR-000003,as_is
FB2-LNK-SAF-000013,FB2-SW-DSN-000003,implements,FB2-SW-SWR-000003,synthetic_reference
FB2-LNK-SAF-000014,FB2-VER-TMS-000001,verifies,FB2-SAF-FSR-000002,as_is
FB2-LNK-SAF-000015,FB2-VER-TMS-000001,verifies,FB2-SW-SWR-000002,as_is
FB2-LNK-SAF-000016,FB2-VER-TMS-000002,verifies,FB2-SAF-FSR-000003,as_is
FB2-LNK-SAF-000017,FB2-VER-TMS-000002,verifies,FB2-SW-SWR-000003,as_is
FB2-LNK-SAF-000018,FB2-VER-EXE-000001,result_of,FB2-VER-TMS-000001,as_is
FB2-LNK-SAF-000019,FB2-REV-000001,reviewed_by,FB2-SAF-HAZ-000001,as_is
FB2-LNK-SAF-000020,FB2-REV-000001,reviewed_by,FB2-SAF-FSR-000001,as_is
FB2-LNK-SAF-000021,FB2-SAF-FSR-000004,refines,FB2-SAF-SGO-000001,synthetic_reference
